system:index,month,month_temp,year,.geo
0,1.0,13318.565217391304,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2.0,13425.478260869566,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,3.0,13550.12,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,4.0,14310.173913043478,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,5.0,14703.125,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,6.0,14594.76923076923,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,7.0,14874.0,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,8.0,14967.5,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,9.0,14697.423076923076,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,10.0,14244.76923076923,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,11.0,14030.217391304348,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,12.0,13694.95652173913,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1.0,13474.961538461539,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2.0,13497.708333333334,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,3.0,13750.277777777777,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,4.0,14201.363636363636,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,5.0,14352.304347826086,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,6.0,14773.434782608696,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,7.0,15009.5,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,8.0,14944.172413793103,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,9.0,14861.642857142857,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,10.0,14250.592592592593,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,11.0,13798.95,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,12.0,13479.904761904761,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,1.0,13236.962962962964,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,2.0,13212.130434782608,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,3.0,13592.461538461539,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,4.0,14149.5,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,5.0,14401.583333333334,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,6.0,14786.148148148148,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,7.0,14879.173913043478,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,8.0,14872.4,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,9.0,14688.961538461539,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,10.0,14204.42857142857,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,11.0,13879.176470588236,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,12.0,13632.117647058823,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,1.0,13185.76,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,2.0,13489.952380952382,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,3.0,13661.541666666666,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,4.0,14225.592592592593,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,5.0,14476.047619047618,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,6.0,14706.793103448275,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,7.0,14767.107142857143,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,8.0,14739.37037037037,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,9.0,14766.392857142857,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,10.0,14273.76923076923,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,11.0,13902.64,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,12.0,13395.285714285714,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,1.0,13105.130434782608,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,2.0,13325.391304347826,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,3.0,13554.642857142857,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,4.0,14324.863636363636,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,5.0,14446.161290322581,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,6.0,14928.333333333334,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,7.0,15045.592592592593,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,8.0,14918.333333333334,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,9.0,14775.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,10.0,14349.444444444445,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,11.0,13848.181818181818,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,12.0,13325.59090909091,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,1.0,13510.37037037037,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,2.0,13400.40909090909,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,3.0,13788.5,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
